Codigo;CNAE 2.0 Grupo;Setor Economico;Secao CNAE;2025;2024;2023;Total_Vinculos;2025;2024;2023;Total_Estabelecimentos
011;Produção de Lavouras Temporárias;AGRICULTURA;A;33525;32649;31661;97835;2308;2294;2257;6859
012;Horticultura e Floricultura;AGRICULTURA;A;2906;2919;2434;8259;206;200;190;596
013;Produção de Lavouras Permanentes;AGRICULTURA;A;42709;41559;40690;124958;4862;4744;4707;14313
014;Produção de Sementes e Mudas Certificadas;AGRICULTURA;A;1793;1722;1549;5064;102;96;91;289
015;Pecuária;AGRICULTURA;A;27394;26914;26479;80787;8367;8343;8343;25053
016;Atividades de Apoio à Agricultura e à Pecuária;AGRICULTURA;A;10121;10021;9944;30086;2875;2811;2777;8463
017;Caça e Serviços Relacionados;AGRICULTURA;A;3;3;2;8;1;1;1;3
021;Produção Florestal - Florestas Plantadas;AGRICULTURA;A;3576;3632;3452;10660;197;210;212;619
022;Produção Florestal - Florestas Nativas;AGRICULTURA;A;52;62;134;248;22;21;21;64
023;Atividades de Apoio à Produção Florestal;AGRICULTURA;A;5122;5703;6234;17059;96;99;97;292
031;Pesca;AGRICULTURA;A;30;27;27;84;15;13;13;41
032;AqüIcultura;AGRICULTURA;A;932;945;974;2851;103;107;111;321
060;Extração de Petróleo e Gás Natural;INDUSTRIA;B;3207;3027;2494;8728;22;23;24;69
071;Extração de Minério de Ferro;INDUSTRIA;B;288;316;374;978;10;10;11;31
072;Extração de Minerais Metálicos Não-Ferrosos;INDUSTRIA;B;8098;7989;7975;24062;36;38;39;113
081;Extração de Pedra, Areia e Argila;INDUSTRIA;B;4821;4598;4187;13606;441;420;402;1263
089;Extração de Outros Minerais Não-Metálicos;INDUSTRIA;B;2524;2329;2146;6999;85;75;72;232
091;Atividades de Apoio à Extração de Petróleo e Gás Natural;INDUSTRIA;B;2470;2659;2808;7937;37;36;34;107
099;Atividades de Apoio à Extração de Minerais, Exceto Petróleo e Gás Natural;INDUSTRIA;B;254;329;354;937;23;25;23;71
101;Abate e Fabricação de Produtos de Carne;INDUSTRIA;C;13657;12561;11239;37457;152;151;146;449
102;Preservação do Pescado e Fabricação de Produtos do Pescado;INDUSTRIA;C;741;727;707;2175;28;28;25;81
103;Fabricação de Conservas de Frutas, Legumes e Outros Vegetais;INDUSTRIA;C;3166;3016;2800;8982;242;220;214;676
104;Fabricação de óleos e Gorduras Vegetais e Animais;INDUSTRIA;C;1654;1636;1540;4830;39;40;40;119
105;Laticínios;INDUSTRIA;C;5749;5486;5074;16309;443;410;391;1244
106;Moagem, Fabricação de Produtos Amiláceos e de Alimentos para Animais;INDUSTRIA;C;6533;6012;5753;18298;223;219;216;658
107;Fabricação e Refino de Açúcar;INDUSTRIA;C;3001;3165;3100;9266;6;6;6;18
108;Torrefação e Moagem de Café;INDUSTRIA;C;973;975;962;2910;101;103;100;304
109;Fabricação de Outros Produtos Alimentícios;INDUSTRIA;C;19719;18351;17599;55669;2324;2179;2050;6553
111;Fabricação de Bebidas Alcoólicas;INDUSTRIA;C;2965;2982;2723;8670;70;67;60;197
112;Fabricação de Bebidas Não-Alcoólicas;INDUSTRIA;C;4348;4149;3807;12304;61;56;55;172
121;Processamento Industrial do Fumo;INDUSTRIA;C;671;665;882;2218;3;3;3;9
122;Fabricação de Produtos do Fumo;INDUSTRIA;C;386;379;375;1140;16;17;14;47
131;Preparação e Fiação de Fibras Têxteis;INDUSTRIA;C;2564;2415;2057;7036;55;55;58;168
132;Tecelagem, Exceto Malha;INDUSTRIA;C;4838;4974;4464;14276;22;21;21;64
133;Fabricação de Tecidos de Malha;INDUSTRIA;C;300;291;265;856;8;6;6;20
134;Acabamentos em Fios, Tecidos e Artefatos Têxteis;INDUSTRIA;C;365;420;389;1174;74;70;65;209
